gene	sources	eqtl.source	n.eqtl.effects	requested
ABL1	1,2,3,4,6	NA	NA	NA
AC007390.5	NA	ubiquitous	44	NA
AC022498.1	NA	outlier	24	NA
ACSL6	NA	specific	1	NA
ACVR1B	1,4,11	NA	NA	NA
ACVR2A	NA	cancer	29	NA
AK9	NA	other	43	NA
AKT1	1,2,3,4,6,8,11	NA	NA	NA
AKT2	3,4	NA	NA	NA
AKT3	3,4	NA	NA	NA
ALK	1,2,3,4,6	NA	NA	NA
APC	1,2,3,4,6,7,10	NA	NA	NA
APOB	NA	NA	NA	1
ARID1A	1,4,6,10	NA	NA	NA
ARID2	1,4	NA	NA	NA
AS3MT	NA	NA	NA	1
ASXL1	1,3,4,11	NA	NA	NA
ATM	1,2,3,4,7,10	NA	NA	NA
ATR	2,3,4,10	NA	NA	NA
AURKA	3,4,6	NA	NA	NA
AURKB	3,4,5	NA	NA	NA
AXIN1	1,3,4	NA	NA	NA
AXIN2	1,2,5,11	NA	NA	NA
AXL	3,4	NA	NA	NA
B4GALT7	NA	outlier	38	NA
BAP1	1,2,3,4,6,7,11	NA	NA	NA
BARD1	2,3,4,7	NA	NA	NA
BCL2	3,4,6	NA	NA	NA
BCL2L2	3,4	NA	NA	NA
BCL6	3,4	NA	NA	NA
BDH1	NA	outlier	7	NA
BHMT2	NA	specific	1	NA
BIRC3	1,3	NA	NA	NA
BLM	2,3,4,7	NA	NA	NA
BMPR1A	2,7	NA	NA	NA
BRAF	1,2,3,4,6,11	NA	NA	NA
BRCA1	1,2,3,4,6,7,11	NA	NA	NA
BRCA2	1,2,3,4,6,7,10	NA	NA	NA
BRD4	3,4	NA	NA	NA
BRIP1	2,3,4,7	NA	NA	NA
BUB1B	NA	cancer	2	NA
C11orf30	3,4	NA	NA	NA
C19orf40	NA	ubiquitous	44	NA
C2orf40	NA	outlier	11	NA
CARD11	1,3,4	NA	NA	NA
CASP8	1,6	NA	NA	NA
CBFB	3,4,8,11	NA	NA	NA
CBL	1,3,4	NA	NA	NA
CCDC126	NA	specific	1	NA
CCDC136	NA	specific	1	NA
CCDC150	NA	outlier	19	NA
CCDC77	NA	outlier	39	NA
CCDC79	NA	specific	1	NA
CCL15	NA	NA	NA	1
CCND1	3,4,6,11	NA	NA	NA
CCND2	3,4,6	NA	NA	NA
CCND3	3,4,6,8	NA	NA	NA
CCNE1	3,4,6	NA	NA	NA
CCSER1	NA	specific	1	NA
CCZ1B	NA	ubiquitous	44	NA
CD274	3,4	NA	NA	NA
CD6	NA	NA	NA	1
CD79A	1,3,4	NA	NA	NA
CD79B	1,3,4	NA	NA	NA
CDC73	1,2,3,4	NA	NA	NA
CDH1	1,2,3,4,6,7,8,10	NA	NA	NA
CDH7	NA	specific	1	NA
CDK12	3,4,6,11	NA	NA	NA
CDK4	2,3,4,6,7	NA	NA	NA
CDK6	3,4,6	NA	NA	NA
CDK8	3,4	NA	NA	NA
CDKN1A	4,11	NA	NA	NA
CDKN1B	3,4,6,7,8,11	NA	NA	NA
CDKN2A	1,2,3,4,6,7,10	NA	NA	NA
CDKN2B	3,4,6	NA	NA	NA
CDKN2C	1,3,4,11	NA	NA	NA
CEBPA	1,2,3,4,11	NA	NA	NA
CEP250	NA	outlier	9	NA
CETP	NA	NA	NA	1
CHD2	3,4	NA	NA	NA
CHEK1	2,3,4	NA	NA	NA
CHEK2	2,3,4,6,7,11	NA	NA	NA
CIC	1,3,4	NA	NA	NA
COLEC10	NA	specific	1	NA
CPS1	NA	cancer,outlier	17	NA
CREBBP	1,3,4,6	NA	NA	NA
CRKL	3,4	NA	NA	NA
CSF1R	1,2,3,4	NA	NA	NA
CSF3R	1,3	NA	NA	NA
CTC1	NA	outlier	20	NA
CTCF	3,4,8,10	NA	NA	NA
CTNNA1	1,2,3,4	NA	NA	NA
CTNNB1	1,2,3,4,6,10	NA	NA	NA
CTNND2	NA	specific	1	NA
CTSB	NA	cancer	4	NA
CUL3	4,6	NA	NA	NA
CUX1	1,3	NA	NA	NA
CYLD	1,2,4	NA	NA	NA
DAXX	1,3,4	NA	NA	NA
DDR2	3,4,6	NA	NA	NA
DDX11	NA	ubiquitous	44	NA
DEFB134	NA	outlier	7	NA
DICER1	1,2,4,7	NA	NA	NA
DNM2	1,3	NA	NA	NA
DNMT3A	1,3,4,6,10	NA	NA	NA
DOT1L	3,4	NA	NA	NA
DPH3	6	NA	NA	NA
EGFR	1,2,3,4,6,10	NA	NA	NA
ENDOD1	NA	specific	1	NA
EP300	1,3,4,6,10	NA	NA	NA
EPCAM	2,7	NA	NA	NA
EPHA3	3,4,6,11	NA	NA	NA
EPHA5	3,4	NA	NA	NA
EPHA7	3,4	NA	NA	NA
EPHB1	3,4	NA	NA	NA
ERAP2	NA	other	43	NA
ERBB2	1,2,3,4,6	NA	NA	NA
ERBB3	3,4,6	NA	NA	NA
ERBB4	2,3,4,6,10	NA	NA	NA
ERCC2	2,11	NA	NA	NA
ERG	1,3,4	NA	NA	NA
ESR1	1,3,4,6	NA	NA	NA
EZH2	1,2,3,4,6,11	NA	NA	NA
FAM46C	3,4	NA	NA	NA
FAM76B	NA	specific	1	NA
FANCA	2,3,4	NA	NA	NA
FANCC	2,3,4	NA	NA	NA
FANCD2	2,3,4	NA	NA	NA
FANCE	3,4	NA	NA	NA
FANCF	2,3,4	NA	NA	NA
FANCG	2,3,4	NA	NA	NA
FANCL	3,4	NA	NA	NA
FAR2	NA	specific	1	NA
FAS	3,4	NA	NA	NA
FBXO11	1,3	NA	NA	NA
FBXW7	1,2,3,4,6,10	NA	NA	NA
FGF10	3,4	NA	NA	NA
FGF14	3,4	NA	NA	NA
FGF19	3,4	NA	NA	NA
FGF23	3,4	NA	NA	NA
FGF3	3,4,6	NA	NA	NA
FGF4	3,4,6	NA	NA	NA
FGF6	3,4	NA	NA	NA
FGFR1	1,2,3,4,6	NA	NA	NA
FGFR2	1,2,3,4,6,11	NA	NA	NA
FGFR3	1,2,3,4,6,11	NA	NA	NA
FGFR4	3,4	NA	NA	NA
FH	2,4,7	NA	NA	NA
FLCN	2,3,4,7	NA	NA	NA
FLT1	3,4	NA	NA	NA
FLT3	1,2,3,4,6,10	NA	NA	NA
FLT4	3,4	NA	NA	NA
FOXA1	1,9,11	NA	NA	NA
FOXL2	1,3,4	NA	NA	NA
FOXO1	3,6	NA	NA	NA
FOXP1	3,4	NA	NA	NA
FRS2	3,4	NA	NA	NA
FTO	NA	NA	NA	1
FUBP1	1,4	NA	NA	NA
GATA2	1,2,3,4	NA	NA	NA
GATA3	1,3,4,6,8,10	NA	NA	NA
GATA6	4,5	NA	NA	NA
GCKR	NA	NA	NA	1
GDPD3	NA	outlier	18	NA
GGCX	NA	outlier	42	NA
GID4	3,4	NA	NA	NA
GML	NA	specific	1	NA
GNA11	1,2,3,4,6	NA	NA	NA
GNA13	3,4	NA	NA	NA
GNAQ	1,2,3,4,6	NA	NA	NA
GNAS	1,2,3,4,5,6	NA	NA	NA
GPR124	3,4	NA	NA	NA
GPR146	NA	outlier	0	NA
GPR97	NA	outlier	26	NA
GREM1	2,7	NA	NA	NA
GRIN2A	1,3,4	NA	NA	NA
GSDMB	NA	outlier	17	NA
GSK3B	3,4	NA	NA	NA
H3F3A	1,4	NA	NA	NA
HAUS4	NA	other	43	NA
HEG1	NA	specific	1	NA
HGF	3,4,6,11	NA	NA	NA
HIST1H1C	3,9,11	NA	NA	NA
HIST1H2BC	3,8	NA	NA	NA
HIST1H3B	1,3	NA	NA	NA
HNF1A	1,2,3,4,6	NA	NA	NA
HOXB1	NA	specific	1	NA
HRAS	1,2,3,4,6	NA	NA	NA
HSP90AA1	3,4	NA	NA	NA
IDH1	1,2,3,4,6,11	NA	NA	NA
IDH2	1,3,4,6,11	NA	NA	NA
IGF1R	3,4,6	NA	NA	NA
IKBKE	3,4	NA	NA	NA
